"max_Re_eigen_jacobian","alpha_H","alpha_L","trait_matching","n_spe_H_val","n_spe_L_val","num_persistent_species","simulation_converged","trait_quartile"
-0.0900404387863508,4.25921125337481,4.92904633050784,0.393956905952655,46,14,50,TRUE,"Trait matching (Q2)"
-0.141545517513371,2.22542756935582,3.59196913661435,0.772599480673671,42,19,46,TRUE,"Trait matching (Q4)"
-0.0413385028905228,4.9717065365985,0.874967966228724,0.41427369142184,13,46,59,TRUE,"Trait matching (Q2)"
-0.0838554360765744,2.12990670814179,3.93262672820129,0.830682811245788,34,36,70,TRUE,"Trait matching (Q4)"
-0.0600668011474266,0.943667020183057,0.25954261305742,0.915001274389215,17,14,26,TRUE,"Trait matching (Q4)"
-0.0586642987668893,0.584433919284493,3.9862284658011,0.56428166795522,12,15,26,TRUE,"Trait matching (Q3)"
-0.0688505732797458,4.77588083129376,2.45255879010074,0.950726060627494,29,43,72,TRUE,"Trait matching (Q4)"
-0.105724250902869,3.91950450255536,3.48304873448797,0.760845500358846,29,18,37,TRUE,"Trait matching (Q3)"
-0.144239044854295,1.82147404062562,2.02396994805895,0.917233945115004,21,14,27,TRUE,"Trait matching (Q4)"
-0.0537104505472481,4.86571808229201,2.98272408777848,0.767875719559379,29,38,67,TRUE,"Trait matching (Q4)"
-0.136480335993758,3.62995495903306,1.02190823061392,0.748612479283474,49,11,50,TRUE,"Trait matching (Q3)"
-0.0509969929036596,1.60347115946934,2.68696782877669,0.0608016749261878,23,25,43,TRUE,"Trait matching (Q1)"
-0.0511878807696767,1.31072143325582,0.895650011952966,0.424560408457182,34,24,47,TRUE,"Trait matching (Q2)"
-0.185828275451145,0.426220131339505,4.63701882166788,0.465136848459952,39,10,41,TRUE,"Trait matching (Q2)"
-0.0803585957457783,3.30857350258157,3.47126878798008,0.935318773414474,36,36,71,TRUE,"Trait matching (Q4)"
-0.0655908497827447,0.701096474658698,1.29845468443818,0.89107718692394,16,17,32,TRUE,"Trait matching (Q4)"
-0.0295386879907249,3.00639391760342,1.523403840838,0.577796988002956,17,24,41,TRUE,"Trait matching (Q3)"
-0.0531490802565105,4.68369567999616,2.61308865738101,0.581982943275943,33,42,75,TRUE,"Trait matching (Q3)"
-0.128715863394881,1.87301653553732,4.99306854675524,0.838411381316837,24,14,31,TRUE,"Trait matching (Q4)"
-0.0413265713779429,3.55460964026861,0.247064548311755,0.406113478098996,32,28,50,TRUE,"Trait matching (Q2)"
-0.187601004544248,0.302346096141264,3.34240590920672,0.839287824369967,29,16,32,TRUE,"Trait matching (Q4)"
-0.132227804354184,2.67034511314705,1.16995320073329,0.57569329419639,42,21,49,TRUE,"Trait matching (Q3)"
-0.0388478130329499,0.477129303617403,3.14965181984007,0.837726570758969,13,46,59,TRUE,"Trait matching (Q4)"
-0.0384744819286586,0.513534317724407,0.713071192149073,0.69221967762569,23,29,52,TRUE,"Trait matching (Q3)"
-0.136154610225627,2.13685514056124,4.65302417753264,0.569144484249409,50,33,70,TRUE,"Trait matching (Q3)"
-0.118691877830175,1.09076335793361,3.34803206846118,0.0597795005422086,34,21,46,TRUE,"Trait matching (Q1)"
-0.0544950249597285,0.723947621881962,4.86285206279717,0.406949526269454,32,23,45,TRUE,"Trait matching (Q2)"
-0.12150203480507,4.7775232384447,3.39591735624708,0.336454444087576,42,15,44,TRUE,"Trait matching (Q2)"
-0.0394936906934899,4.13690091809258,3.34750106558204,0.828995557478629,25,43,68,TRUE,"Trait matching (Q4)"
-0.0335368434255173,0.238357057096437,0.610881359316409,0.436372870067134,29,37,62,TRUE,"Trait matching (Q2)"
-0.0440700254837551,4.81262794346549,1.2463727616705,0.193377693567891,36,32,62,TRUE,"Trait matching (Q1)"
-0.0311122745141629,3.90824129688554,0.141474847914651,0.359447382239159,21,42,58,TRUE,"Trait matching (Q2)"
